id,okud,expl2220,current2220,previous2220,current2200,previous2200,expl2320,current2320,previous2320,expl2330,current2330,previous2330,expl2340,current2340,previous2340,expl2350,current2350,previous2350,current2300,previous2300,expl2410,current2410,previous2410,current2400,previous2400,current2411,previous2411,current2412,previous2412,current2500,previous2500,expl2110,current2110,previous2110,expl2120,current2120,previous2120,current2100,previous2100,address,company_name,expl2200,expl2300,expl2400,expl2411,expl2412,expl2100,current2510,current2900,previous2900,current2910,previous2910,current2210,previous2210,current2460,previous2460,previous2510,expl2500,expl2900,current2530,previous2530,expl2210,current2310,previous2310,current2520,current2420,previous2520,expl2910,expl2460,expl2310,previous2420,expl2510,expl2420,expl2520,expl2530
57741566.0,0710002,,,,,,,,,,1097.0,3017.0,,120648.0,36940.0,,117854.0,46449.0,,,,-341.0,-591.0,1662.0,21637.0,,,,,,,,28251.0,145548.0,,27945.0,110794.0,,,"614022, Пермский край, Пермь г, Мира ул, дом 45, корпус а, офис 411","Акционерное общество ""Амбер-стройсервис""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54439888.0,0710002,,6806.0,22303.0,7004.0,19307.0,,0.0,,,0.0,,,527.0,,,119.0,3356.0,7412.0,15951.0,,-137.0,-402.0,7275.0,15549.0,137.0,402.0,,,7275.0,15549.0,,36114.0,91703.0,,22304.0,50093.0,13810.0,41610.0,"368780, Дагестан Респ, м.р-н Магарамкентский, с.п. сельсовет Магарамкентский, с Магарамкент, ул Гагарина, д. 3, ","Акционерное общество ""Амирус""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54493223.0,0710002,10.,86942.0,88312.0,116300.0,144768.0,,15516.0,3128.0,,4386.0,30226.0,,5834.0,6747.0,,23104.0,11922.0,110160.0,112495.0,,-30264.0,-22688.0,79896.0,89807.0,30696.0,24277.0,432.0,1589.0,79896.0,89807.0,,1384301.0,1871289.0,10.,1181059.0,1638209.0,203242.0,233080.0,"127566, Москва г, вн.тер.г. муниципальный округ Алтуфьевский, ш Алтуфьевское, д. 48, кор. 1,  Эт 9 Пом I оф 901, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",,,,,,,,399484.37,449039.77,,,,,,,,,,,,,,,,,,,,,,,,,
56753880.0,0710002,,4423.0,7705.0,-84.0,-13.0,,0.0,,,0.0,,,601.0,1368.0,,660.0,945.0,-143.0,410.0,,-100.0,-220.0,-243.0,190.0,97.0,209.0,-3.0,-11.0,-243.0,190.0,,8229.0,14446.0,,3890.0,6754.0,4339.0,7692.0,"368730, Дагестан Респ, Ахтынский р-н, Ахты с, А.Аливердиева ул, дом № 6","Акционерное общество ""Специализированный застройщик ""АРСИ""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55884033.0,0710002,,6784.0,9331.0,-4584.0,-5465.0,,1537.0,1517.0,,1980.0,1961.0,,3122.0,14404.0,,11108.0,20262.0,-13013.0,-11767.0,,-7.0,2990.0,-13060.0,-10419.0,2.0,4.0,-5.0,2994.0,-13060.0,-10419.0,,2200.0,10902.0,,0.0,7036.0,2200.0,3866.0,"163000, Архангельская обл, Архангельск г, Попова ул, дом 17","Акционерное общество ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",,,,,,,,,,,,,,-40.0,-1642.0,,,,,,,,,,,,,,,,,,,
54918676.0,0710002,,15607.0,24226.0,-11630.0,51573.0,,0.0,,,1359.0,26904.0,,6838.0,14506.0,,134455.0,135424.0,-140606.0,-96249.0,,,,-140606.0,-96249.0,,,,,-140606.0,-96249.0,,14816.0,181368.0,,10839.0,105111.0,3977.0,76257.0,"129075, Москва г, вн.тер.г. муниципальный округ Останкинский, ул Аргуновская, д. 2, кор. 1, кв. оф 1500, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",,,,,,,0.0,,,,,0.0,458.0,,,,,,,,,,,,,,,,,,,,,
56059392.0,0710002,,32615.0,36706.0,26620.0,15781.0,,19.0,24.0,,850.0,850.0,,509.0,342.0,,3098.0,1199.0,23200.0,14098.0,,-6138.0,-2013.0,17062.0,12085.0,5164.0,1713.0,-974.0,-300.0,17062.0,12085.0,,325013.0,336907.0,,265778.0,284420.0,59235.0,52487.0,"664050, Иркутская обл, Иркутск г, Дыбовского ул, дом № 8/10","Акционерное общество ""БАЙКАЛСТРОЙГРАД""",,,,,,,,1706.26,1208.47,,,,,,,,,,,,,,,,,,,,,,,,,
56213152.0,0710002,,13112.0,31503.0,-13112.0,577565.0,,10048.0,24869.0,,0.0,,,8246.0,9030.0,,35225.0,38946.0,-30043.0,572518.0,,-612.0,-121048.0,-30655.0,451470.0,58.0,121136.0,-555.0,88.0,-30655.0,451470.0,,0.0,2929335.0,,0.0,2320267.0,0.0,609068.0,"199178, Санкт-Петербург г, вн.тер.г. муниципальный округ Васильевский, пр-кт Малый В.О., д. 48, кор. 2, литера А, кв. Помещение 12-Н, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55479206.0,0710002,,24003.0,21504.0,-18185.0,-11049.0,,914.0,1257.0,,,,,27200.0,16855.0,,18804.0,9982.0,-8875.0,-2919.0,,,,-10062.0,-4452.0,,,,,-10062.0,-4452.0,,95849.0,101840.0,,73407.0,75747.0,22442.0,26093.0,"Респ. Карелия, г. Беломорск, ул. Портовое шоссе, д. 25, 186500","АО ""БЕЛОМОРСКАЯ ПМК""",,,,,,,,,,,,16624.0,15638.0,-1187.0,-1533.0,,,,,,,,,,,,,,,,,,,
56118834.0,0710002,,143605.0,186113.0,-23673.0,230734.0,,30630.0,25918.0,,21647.0,7622.0,11.4,26529.0,33256.0,11.5,44805.0,66052.0,-32966.0,216234.0,11.6,985.0,-34117.0,-31981.0,182117.0,325.0,38526.0,1310.0,4410.0,-31981.0,182117.0,11.4,537751.0,1441378.0,10,417819.0,1024531.0,119932.0,416847.0,"633010, Новосибирская обл, Бердск г, Ленина ул, дом № 69","АО ""Бердский строительный трест""",,,,,,,,-319.81,1821.17,,,,,,,,,,,,,,,,,,,,,,,,,
