id,okud,current2210,previous2210,current2220,previous2220,current2200,previous2200,current2320,previous2320,current2330,previous2330,current2340,previous2340,current2350,previous2350,current2300,previous2300,current2410,previous2410,current2400,previous2400,current2411,previous2411,current2412,current2500,previous2500,current2110,previous2110,current2120,previous2120,current2100,previous2100,address,company_name,current2460,previous2412,current2900,previous2900,current2310,previous2310,previous2460,expl2340,expl2350,expl2410,expl2110,expl2120,current2510,expl2220,expl2320,expl2300,expl2900,expl2411,expl2412,expl2210,current2530,previous2510,previous2530,current2520,previous2520,current2910,previous2910,expl2330,expl2400,expl2500,expl2460,expl2100,expl2200,expl2310
51438202.0,0710002,,,21827.0,15907.0,2139.0,9777.0,,,,,335.0,5320.0,156.0,13855.0,2318.0,1242.0,-290.0,,2028.0,1242.0,290.0,,,2028.0,1242.0,91703.0,56775.0,67737.0,31091.0,23966.0,25684.0,"368780, Дагестан Респ, р-н Магарамкентский, с Магарамкент, ул Гагарина, 3","Акционерное общество ""Амирус""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51522289.0,0710002,,,88312.0,83302.0,144768.0,-19311.0,3128.0,945.0,30226.0,7445.0,35543.0,220108.0,40718.0,156265.0,112495.0,38032.0,-22688.0,-9942.0,89807.0,28092.0,24277.0,7352.0,1589.0,89807.0,28092.0,1871289.0,1129443.0,1638209.0,1065452.0,233080.0,63991.0,"127566, Москва г, ш Алтуфьевское, 48, 1, Эт 9 Пом I оф 901","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",0.0,-2588.0,449.0,145.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52016176.0,0710002,,,7705.0,7664.0,-13.0,8469.0,,,,,1368.0,1502.0,945.0,9796.0,410.0,175.0,-220.0,53.0,190.0,228.0,209.0,257.0,-11.0,190.0,228.0,14446.0,546027.0,6754.0,529894.0,7692.0,16133.0,"368730, Дагестан Респ, Ахтынский р-н, Ахты с, А.Аливердиева ул, дом № 6","Акционерное общество ""АРСИ""",,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52253324.0,0710002,,,9331.0,24244.0,-5465.0,-63734.0,1517.0,1620.0,1961.0,8858.0,14404.0,47274.0,20262.0,22141.0,-11767.0,-45839.0,2990.0,-52.0,-10419.0,-46946.0,4.0,4.0,2994.0,-10419.0,-46946.0,10902.0,750704.0,7036.0,790194.0,3866.0,-39490.0,"163000, Архангельская обл, Архангельск г, Попова ул, дом 17","Акционерное общество ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",-1642.0,-48.0,,,,,-1055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51753066.0,0710002,458.0,4654.0,24226.0,37665.0,51573.0,268693.0,0.0,1692.0,26904.0,64360.0,256449.0,128019.0,377367.0,481868.0,-96249.0,-147824.0,,,-96249.0,-150389.0,,,,-96249.0,-150389.0,181368.0,1152402.0,105111.0,841390.0,76257.0,311012.0,"129075, Москва г, ул Аргуновская, 2, 1, оф 1500","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",0.0,,,,,,-2565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52228987.0,0710002,,,36706.0,36269.0,15781.0,1973.0,24.0,234.0,850.0,964.0,342.0,4572.0,1199.0,5658.0,14098.0,157.0,-2013.0,-260.0,12084.0,-104.0,1713.0,1570.0,-300.0,12084.0,-104.0,336907.0,354342.0,284420.0,316100.0,52487.0,38242.0,"664050, Иркутская обл, Иркутск г, Дыбовского ул, дом № 8/10","Акционерное общество ""БАЙКАЛСТРОЙГРАД""",-1.0,1309.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52197394.0,0710002,,,31503.0,11243.0,577565.0,52824.0,24869.0,4405.0,0.0,14.0,9030.0,9537.0,38432.0,17537.0,573032.0,49215.0,-121303.0,-11647.0,451984.0,37644.0,121136.0,11384.0,88.0,451984.0,37644.0,2929335.0,316038.0,2320267.0,251971.0,609068.0,64067.0,"199178, Санкт-Петербург г, пр-кт Малый В.О., д 48 литера А, к 2, Помещение 12-Н","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",255.0,-187.0,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50854817.0,0710002,15638.0,13009.0,21504.0,20653.0,-11049.0,-6455.0,1257.0,684.0,,,16855.0,13566.0,9982.0,7141.0,-2919.0,654.0,,,-4452.0,-419.0,,,,-4452.0,-419.0,101840.0,95063.0,75747.0,67856.0,26093.0,27207.0,"Респ. Карелия, г. Беломорск, ул. Портовое шоссе, д. 25, 186500","Акционерное общество ""Беломорская передвижная механизированная колонна""",-1533.0,,,,,,-1073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52318533.0,0710002,,,186113.0,38523.0,230734.0,219807.0,25918.0,23134.0,7622.0,8531.0,74999.0,146219.0,107795.0,150372.0,216234.0,230257.0,-34117.0,-47052.0,182117.0,183205.0,38526.0,48858.0,4410.0,182117.0,183205.0,1441378.0,3135029.0,1024531.0,2876699.0,416847.0,258330.0,"633010, Новосибирская обл, Бердск г, Ленина ул, дом № 69","АО ""Бердский строительный трест""",,1808.0,2.0,2.0,,,,10,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,
52811678.0,0710002,,,50615.0,57020.0,-69467.0,-49872.0,62724.0,11057.0,179349.0,82507.0,9541.0,292056.0,11608.0,271936.0,-188159.0,-101202.0,54312.0,20046.0,-133852.0,-81156.0,,,54307.0,129116.0,-81156.0,165862.0,211510.0,184714.0,204362.0,-18852.0,7148.0,"350020, Краснодарский край, г.о. город Краснодар, г Краснодар, ул Красная, д. 176, стр. А,  10, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ"" (АО ""БИЛДИНГ"")",-5.0,20046.0,-134.0,-81.0,,,,,,,,,262968.0,,,,,,,,,,,,,,,,,,,,,
